addressType,add,phone,payment_mode,name,pin,order,consignee_gst_amount,integrated_gst_amount,seller_gst_tin,gst_cess_amount,client_name,tax_value,seller_tin,seller_gst_amount,seller_inv,city,commodity_value,weight,return_state,seller_name,fragile_shipment,return_city,return_phone,category_of_goods,cod_amount,return_country,state,dangerous_good,order_date,return_add,total_amount,seller_add,country,return_pin,return_name,quantity
Home,null,7045814007,Prepaid,null,122002,null,118,118,null,18,API logistics,18,null,18,null,GURGAON,null,500,KARNATAKA,null,FALSE,BANGALORE,null,null,118,India,HARYANA,FALSE,2021/23/03,null,118,null,India,560047,null,1
Office,gagan chowk,801191219,Prepaid,Nitin,110001,null,128,128,null,19,Nitin,18,null,18,null,DELHI,null,250,UP,Tau,TRUE,MEERUT,null,null,128,India,UP,FALSE,09-09-2021,nll,128,null,India,201001,null,2
Home,null,7045814007,Prepaid,null,122002,null,118,118,null,18,API logistics,18,null,18,null,GURGAON,null,500,KARNATAKA,null,FALSE,BANGALORE,null,null,118,India,HARYANA,FALSE,2021/23/03,null,118,null,India,560047,null,1
Office,gagan chowk,801191219,Prepaid,Nitin,110001,null,128,128,null,19,Nitin,18,null,18,null,DELHI,null,250,UP,Tau,TRUE,MEERUT,null,null,128,India,UP,FALSE,09-09-2021,nll,128,null,India,201001,null,2
Home,null,7045814007,Prepaid,null,122002,null,118,118,null,18,API logistics,18,null,18,null,GURGAON,null,500,KARNATAKA,null,FALSE,BANGALORE,null,null,118,India,HARYANA,FALSE,2021/23/03,null,118,null,India,560047,null,1
Office,gagan chowk,801191219,Prepaid,Nitin,110001,null,128,128,null,19,Nitin,18,null,18,null,DELHI,null,250,UP,Tau,TRUE,MEERUT,null,null,128,India,UP,FALSE,09-09-2021,nll,128,null,India,201001,null,2
Home,null,7045814007,Prepaid,null,122002,null,118,118,null,18,API logistics,18,null,18,null,GURGAON,null,500,KARNATAKA,null,FALSE,BANGALORE,null,null,118,India,HARYANA,FALSE,2021/23/03,null,118,null,India,560047,null,1
Office,gagan chowk,801191219,Prepaid,Nitin,110001,null,128,128,null,19,Nitin,18,null,18,null,DELHI,null,250,UP,Tau,TRUE,MEERUT,null,null,128,India,UP,FALSE,09-09-2021,nll,128,null,India,201001,null,2
Home,null,7045814007,Prepaid,null,122002,null,118,118,null,18,API logistics,18,null,18,null,GURGAON,null,500,KARNATAKA,null,FALSE,BANGALORE,null,null,118,India,HARYANA,FALSE,2021/23/03,null,118,null,India,560047,null,1
Office,gagan chowk,801191219,Prepaid,Nitin,110001,null,128,128,null,19,Nitin,18,null,18,null,DELHI,null,250,UP,Tau,TRUE,MEERUT,null,null,128,India,UP,FALSE,09-09-2021,nll,128,null,India,201001,null,2
Home,null,7045814007,Prepaid,null,122002,null,118,118,null,18,API logistics,18,null,18,null,GURGAON,null,500,KARNATAKA,null,FALSE,BANGALORE,null,null,118,India,HARYANA,FALSE,2021/23/03,null,118,null,India,560047,null,1
Office,gagan chowk,801191219,Prepaid,Nitin,110001,null,128,128,null,19,Nitin,18,null,18,null,DELHI,null,250,UP,Tau,TRUE,MEERUT,null,null,128,India,UP,FALSE,09-09-2021,nll,128,null,India,201001,null,2
